source
Barr2010
Cox2011
Hay2001
nimr-annual-2002
nimr-feb-2009-table5
nimr-feb-2010-table12
nimr-feb-2010-table13
nimr-feb-2012-2011-12-09
nimr-feb-2012-2012-01-11
nimr-feb-2012-2012-01-18
nimr-march-2008-table5
nimr-sep-2010-table8
nimr-sep-2011-2011-04-12
nimr-sep-2011-2011-05-13
nimr-sep-2011-2011-05-18
nimr-sep-2011-2011-06-24
nimr-sep-2011-2011-06-24b
nimr-sep-2011-2011-09-13
Russell2008
Smith2004
